rejection.Risk,Lower.CI,Upper.CI,SSVS_results,rejection.Risk_Noise,rejection.interaction,rejection.SDIR,SDIR
Reject,0.3147657683330648,0.833159143915521,"Gender, Age, ProgVar",Reject,Reject,Reject,1.1204862306434091
Reject,0.23235549494565425,0.7321479238851061,"Gender, Age, ProgVar",Reject,Reject,Reject,1.2534183367674436
Accept,-0.058898813601902134,0.4640325708051407,"Gender, Age, ProgVar",Reject,Reject,Accept,0.6229579593300146
Accept,-0.048755621095734315,0.5907555426568103,"Gender, Age, ProgVar",Reject,Reject,Accept,0.47327444780611294
Accept,-0.1000706347795067,0.5575973610987548,"Gender, Age, ProgVar",Accept,Reject,Accept,0.26686946022241154
Reject,0.07595374836953463,0.6289425054990951,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8664126654539396
Reject,0.027495892773707953,0.5644597942299153,"Gender, Age, ProgVar",Reject,Reject,Reject,0.9135035900524603
Reject,0.21577378957828358,0.8287209625529814,"Gender, Age, ProgVar",Reject,Reject,Reject,0.9783783102518858
Accept,-0.06702254467326091,0.5220225661306825,"Gender, Age, ProgVar",Reject,Reject,Accept,0.7790529244715632
Reject,0.12450790671275755,0.751072233749386,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8402679979055347
Accept,-0.05479796181065105,0.5308805953453002,"Gender, Age, ProgVar",Reject,Reject,Accept,0.6628901607725324
Accept,-0.15268790353197714,0.4378910732019548,"Gender, Age, ProgVar",Accept,Reject,Accept,0.3787636057000211
Reject,0.10224228482734367,0.6407659334698783,"Gender, Age, ProgVar",Reject,Reject,Accept,1.0055436493592138
Reject,0.1656253896273673,0.7560497322739741,"Gender, Age, ProgVar",Reject,Reject,Reject,1.048690917041225
Reject,0.1602745706520016,0.6801421711372142,"Gender, Age, ProgVar",Reject,Reject,Reject,1.2092843593183715
Accept,-0.2940447126898582,0.44735062841257445,"Gender, Age, ProgVar",Reject,Reject,Reject,0.8109592487915929
Reject,0.3093324334175195,0.9347996880480038,"Gender, Age, ProgVar",Reject,Reject,Reject,1.2443218678643462
Reject,0.017679798674451325,0.6469868045442633,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8882610376174063
Reject,0.04802761625736818,0.6495053082127895,"Gender, Age, ProgVar",Accept,Reject,Accept,0.38143882253250405
Reject,0.13807991858166968,0.6908055278518431,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8362822664326021
Accept,-0.06750922761135712,0.5370752230933807,"Gender, Age, ProgVar",Reject,Reject,Accept,0.6668445137901806
Reject,0.05152960380645802,0.5915227792790408,"Gender, Age, ProgVar",Reject,Reject,Reject,1.328560940636731
Reject,0.0505443817665904,0.6184639994466181,"Gender, Age, ProgVar",Reject,Reject,Accept,0.7958013028621084
Accept,-0.053575914829919066,0.45044582046731246,"Gender, Age, ProgVar",Reject,Reject,Accept,0.7228877038481706
Reject,0.12833375497952845,0.8558136605947902,"Gender, Age, ProgVar",Reject,Reject,Accept,0.6781556932427903
Reject,0.06814473264490532,0.6648284289368316,"Gender, Age, ProgVar",Reject,Reject,Reject,0.9201149072499495
Reject,0.05692868426671291,0.6028163470644454,"Gender, Age, ProgVar",Reject,Reject,Reject,0.9107805162685476
Accept,-0.055012071255803215,0.621347084507596,"Gender, Age, ProgVar",Reject,Reject,Reject,0.9587630976567438
Accept,-0.007823924463074006,0.7135312782427128,"Gender, Age, ProgVar",Accept,Reject,Accept,0.7502258663734913
Reject,0.14782758162894843,0.7013621421079255,"Gender, Age, ProgVar",Reject,Reject,Reject,0.9858018127000846
Reject,0.41307927947885886,1.0526120263093566,"Gender, Age, ProgVar",Reject,Reject,Reject,1.2015604111499107
Reject,0.05516771615790869,0.6734275918105052,"Gender, Age, ProgVar",Reject,Reject,Reject,0.9418389237329048
Accept,-0.11700240506458419,0.43287299047420374,"Gender, Age, ProgVar",Reject,Reject,Accept,0.7181425315763164
Reject,0.051619419832613145,0.5960167310742206,"Gender, Age, ProgVar",Reject,Reject,Accept,0.5705974191689687
Accept,-0.1272927203735344,0.45715874866974626,"Gender, Age, ProgVar",Reject,Reject,Accept,0.842507697342672
Reject,0.07403442249247102,0.599621010874045,"Gender, Age, ProgVar",Reject,Reject,Reject,1.1227640683307534
Reject,0.37448745265558514,1.042499640959872,"Gender, Age, ProgVar",Reject,Reject,Reject,1.19981606744153
Accept,-0.11865255176323948,0.4130108268694044,"Gender, Age, ProgVar",Reject,Reject,Accept,0.20369529903438732
Reject,0.11387839743903155,0.7441685282002826,"Gender, Age, ProgVar",Reject,Reject,Accept,0.7413033122835643
Reject,0.05980916265142272,0.5890302648404941,"Gender, Age, ProgVar",Reject,Reject,Reject,1.1836563502675412
Reject,0.07977120672153813,0.6544111277891667,"Gender, Age, ProgVar",Reject,Reject,Reject,0.9427175186603851
Accept,-0.07486429633237338,0.557182977076971,"Gender, Age, ProgVar",Reject,Reject,Accept,0.734557174080208
Accept,-0.015619146078488026,0.5055599596444015,"Gender, Age, ProgVar",Reject,Reject,Reject,1.12766251610483
Accept,-0.04904948526413917,0.5354996206120199,"Gender, Age, ProgVar",Accept,Reject,Reject,1.1889839314859318
Accept,-0.150123013121068,0.41724594125460257,"Gender, Age, ProgVar",Accept,Reject,Accept,0.38983920696374424
Reject,0.09298200781898963,0.7899794364582253,"Gender, Age, ProgVar",Reject,Reject,Reject,0.9697425406867662
Accept,-0.13020864892586181,0.5419327385728868,"Gender, Age, Outcome_BL, ProgVar",Reject,Reject,Accept,0.892486682179769
Reject,0.17073883045354163,0.7343431794937239,"Gender, Age, ProgVar",Reject,Reject,Reject,1.1366592159800715
Reject,0.38599073289383967,0.9898692949844092,"Gender, Age, ProgVar",Reject,Reject,Reject,1.2081348007498076
Accept,-0.4234392564480869,0.2173130871448804,"Gender, Age, ProgVar",Reject,Reject,Accept,0.38839393794979316
Accept,-0.04755245249655771,0.5072598849578193,"Gender, Age, ProgVar",Reject,Reject,Accept,0.4164453902641179
Reject,0.0756904140247637,0.5965229799085437,"Gender, Age, ProgVar",Reject,Reject,Reject,1.1587822778989532
Reject,0.02544041411200007,0.649541522453962,"Gender, Age, ProgVar",Accept,Reject,Accept,0.7909593438840113
Reject,0.10551713555881459,0.7528931455745611,"Gender, Age, ProgVar",Reject,Reject,Accept,0.44609924554358216
Reject,0.2583742308440509,0.785605890860664,"Gender, Age, Outcome_BL, ProgVar",Accept,Reject,Reject,0.9753616645608266
Reject,0.042735100502855214,0.7182497103022485,"Gender, Age, ProgVar",Reject,Reject,Reject,1.0324620825150725
Reject,0.26992117026690965,0.8755167219344531,"Gender, Age, ProgVar",Reject,Reject,Reject,1.194581118379384
Reject,0.10823741939459276,0.7027233639768076,"Gender, Age, ProgVar",Reject,Reject,Reject,1.0451385737676935
Accept,-0.023311646846815054,0.6530711373264835,"Gender, Age, ProgVar",Reject,Reject,Accept,0.03507640710241178
Accept,-0.006511632168271235,0.542708879889195,"Gender, Age, ProgVar",Reject,Reject,Reject,1.0137866877979584
Reject,0.04329474101274361,0.6966976259494988,"Gender, Age, ProgVar",Reject,Reject,Accept,0.4946016918067819
Reject,0.40294625303973447,1.0418557184835804,"Gender, Age, ProgVar",Reject,Reject,Reject,1.338628208727915
Reject,0.1412043548679498,0.6757406412428986,"Gender, Age, ProgVar",Reject,Reject,Reject,0.8633046657105731
Reject,0.1385787253901479,0.6416605927455858,"Gender, Age, ProgVar",Reject,Reject,Reject,1.019093499276623
Accept,-0.33031737498409586,0.3210946220986607,"Gender, Age, ProgVar",Reject,Reject,Accept,0.7263173803992448
Reject,0.11794399126235426,0.682285594774297,"Gender, Age, ProgVar",Reject,Reject,Accept,0.5792151087167654
Accept,-0.023237116322957732,0.6098621651917898,"Gender, Age, ProgVar",Reject,Reject,Accept,0.7354386555983105
Reject,0.0792826373710529,0.7382991480047728,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8135316110099963
Reject,0.3337881626815528,0.861215353693289,"Gender, Age, ProgVar",Reject,Reject,Reject,1.2391491254085767
Reject,0.17303657343365186,0.7736363890298051,"Gender, Age, ProgVar",Accept,Reject,Accept,0.8404088992165704
Reject,0.13549336069742585,0.6587593236336179,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8029025843325314
Reject,0.18174258019614112,0.8695344466193473,"Gender, Age, ProgVar",Reject,Reject,Accept,0.9284915881996563
Reject,0.3124515212387094,0.8914665173367384,"Gender, Age, ProgVar",Reject,Reject,Reject,1.1598189095316587
Reject,0.08043875033194527,0.5948767952070679,"Gender, Age, ProgVar",Reject,Reject,Reject,1.2406142349394744
Accept,-0.08426329478008028,0.4500013669137406,"Gender, Age, ProgVar",Reject,Reject,Accept,0.20621781396262595
Accept,-0.006882767921996713,0.582367628135716,"Gender, Age, ProgVar",Reject,Reject,Reject,0.97980681370302
Reject,0.09231874812117499,0.7194144579541706,"Gender, Age, ProgVar",Reject,Reject,Reject,1.2544575912371925
Reject,0.12264990347435809,0.7973557453652544,"Gender, Age, ProgVar",Reject,Reject,Reject,1.1346033689762756
Reject,0.27964115459769373,0.9658042584855628,"Gender, Age, ProgVar",Reject,Reject,Reject,1.0588738864241372
