rejection.Risk,Lower.CI,Upper.CI,SSVS_results,rejection.Risk_Noise,rejection.interaction,rejection.SDIR,SDIR
Accept,-0.060732667481039504,0.675559681640148,"Gender, Age, ProgVar",Accept,Accept,Accept,0.8462455719821251
Accept,-0.6792330492452021,0.020021645159789797,"Gender, Age, ProgVar",Accept,Accept,Accept,0.32653767216000934
Accept,-0.24398914645231073,0.4344464471664987,"Gender, Age, ProgVar",Accept,Accept,Accept,0.5096102043012375
Accept,-0.5428756789532989,0.19388337863583638,"Gender, Age, ProgVar",Accept,Accept,Accept,0.9539788571562074
Accept,-0.7194792914049069,0.021504648000335913,"Gender, Age, ProgVar",Accept,Accept,Accept,0.7928753705356317
Accept,-0.4333463012525232,0.16320388503441108,"Gender, Age, ProgVar",Accept,Accept,Accept,0.4717931344289445
Accept,-0.2985353050024576,0.31438913088923004,"Gender, Age, ProgVar",Accept,Accept,Accept,0.2698443507555146
Accept,-0.2129617362560995,0.5478233300687155,"Gender, Age, ProgVar",Accept,Accept,Accept,0.370514046926985
Accept,-0.6606098125382093,0.009367726579098207,"Gender, Age, ProgVar",Accept,Reject,Accept,0.817122211560313
Accept,-0.2865543289490886,0.39527059717590374,"Gender, Age, ProgVar",Accept,Accept,Accept,0.3950034199951345
Accept,-0.27537219890404674,0.5029267750943743,"Gender, Age, ProgVar",Reject,Accept,Accept,0.6361338066627907
Accept,-0.4515794019883206,0.14505317681915791,"Gender, Age, ProgVar",Reject,Accept,Accept,0.7804791781355158
Accept,-0.47046830706060894,0.22614094967901116,"Gender, Age, ProgVar",Accept,Accept,Accept,0.17202126043343577
Accept,-0.3200091878746275,0.2369157222587484,"Gender, Age, ProgVar",Accept,Accept,Accept,0.786759717297821
Accept,-0.3761274795682039,0.3363618410692657,"Gender, Age, ProgVar",Reject,Reject,Accept,0.43574681066673926
Accept,-0.5373797976280061,0.17599655064446695,"Gender, Age, ProgVar",Accept,Reject,Accept,0.48021590042258344
Accept,-0.41484422794609377,0.24698984075196326,"Gender, Age, ProgVar",Accept,Accept,Accept,0.4602536687060606
Accept,-0.3505152843903251,0.3412430856364296,"Gender, Age, ProgVar",Accept,Accept,Accept,0.40758911759412136
Accept,-0.2837319902565332,0.41353746525914714,"Gender, Age, ProgVar",Accept,Accept,Accept,0.858639816726691
Accept,-0.29234503014772356,0.25771186889118747,"Gender, Age, ProgVar",Accept,Accept,Accept,0.7252344371846676
Accept,-0.2524472793266022,0.4487785644705549,"Gender, Age, ProgVar",Accept,Accept,Accept,0.062273987272523194
Accept,-0.635548579326083,0.10560709218031704,"Gender, Age, ProgVar",Accept,Accept,Accept,0.7112088056866358
Accept,-0.14167480176337705,0.5203623996276208,"Gender, Age, ProgVar",Accept,Accept,Accept,0.5626290419376729
Accept,-0.19648388060106808,0.4106218180140807,"Gender, Age, ProgVar",Reject,Accept,Accept,0.23245452873983882
Accept,-0.3527445970201716,0.28056065204802977,"Gender, Age, ProgVar",Accept,Accept,Accept,0.7922219934372354
Accept,-0.30367901807066644,0.3281878493007573,"Gender, Age, ProgVar",Accept,Accept,Accept,0.421575781934248
Accept,-0.5106066933919906,0.24816937513577844,"Gender, Age, ProgVar",Accept,Accept,Accept,0.6924360868801877
Accept,-0.2882047727126521,0.4396076752993536,"Gender, Age, ProgVar",Accept,Accept,Accept,0.4453726586360236
Accept,-0.4508703958551057,0.2070495935723471,"Gender, Age, ProgVar",Accept,Accept,Accept,0.2996071089396606
Accept,-0.3624507743183214,0.2412925866583552,"Gender, Age, ProgVar",Accept,Accept,Accept,0.4576215079537307
Accept,-0.2686424147617681,0.5036605536794538,"Gender, Age, ProgVar",Accept,Accept,Accept,0.4859092853999866
Accept,-0.24163502066908168,0.5005050506596069,"Gender, Age, ProgVar",Accept,Accept,Accept,0.5922192325555133
Accept,-0.19537908791345243,0.4984395125710511,"Gender, Age, ProgVar",Accept,Accept,Accept,0.65544566138357
Accept,-0.055652969306806244,0.6277991887610613,"Gender, Age, ProgVar",Accept,Accept,Accept,0.5013540730355632
Accept,-0.3421731881961756,0.41985026124549796,"Gender, Age, ProgVar",Accept,Accept,Accept,0.5051719106795743
Accept,-0.3762013744440275,0.36642791676319963,"Gender, Age, ProgVar",Accept,Accept,Accept,0.647430144291339
Accept,-0.3571089052386522,0.3646130994947364,"Gender, Age, ProgVar",Accept,Accept,Accept,0.29634813929448894
Accept,-0.17950245733275455,0.5133953095441539,"Gender, Age, ProgVar",Accept,Accept,Accept,0.3680989704500178
Accept,-0.373809767367091,0.34391872478737895,"Gender, Age, ProgVar",Accept,Accept,Accept,0.3490285000764783
Accept,-0.42996761027397123,0.2817450885796873,"Gender, Age, ProgVar",Accept,Accept,Accept,0.33766061936007874
Accept,-0.3133334980899751,0.4552638322875918,"Gender, Age, ProgVar",Accept,Accept,Accept,0.7121767501462676
Accept,-0.5370770137348775,0.1590699286828208,"Gender, Age, ProgVar",Accept,Accept,Accept,0.4966182664225356
Accept,-0.5836645708120929,0.056500191370806585,"Gender, Age, ProgVar",Accept,Accept,Accept,0.5473014369338082
Accept,-0.17356521103082317,0.48731826355390195,"Gender, Age, ProgVar",Accept,Accept,Accept,0.6529649940960965
Accept,-0.4053131662160679,0.34161787860205095,"Gender, Age, ProgVar",Accept,Reject,Reject,0.8754960917282028
Reject,-0.6784059931155068,-0.05939708628421789,"Gender, Age, ProgVar",Accept,Accept,Accept,0.9195032449716096
Accept,-0.5822120726240299,0.06070163821731747,"Gender, Age, ProgVar",Accept,Accept,Accept,0.9614512773651449
Accept,-0.3202739388888145,0.49924417592723336,"Gender, Age, ProgVar",Accept,Accept,Accept,0.11469500112129466
Accept,-0.396761307781759,0.3810915054798414,"Gender, Age, ProgVar",Accept,Accept,Accept,0.5014994038476345
Accept,-0.302408406901124,0.3229385715941303,"Gender, Age, ProgVar",Accept,Accept,Accept,0.5411408916965992
Accept,-0.42842889063812417,0.19366659379330733,"Gender, Age, ProgVar",Accept,Accept,Accept,0.6962717639240271
Accept,-0.48059670013332095,0.20117168989753972,"Gender, Age, ProgVar",Accept,Accept,Accept,0.851613531373945
Accept,-0.15328520407988072,0.663305318284882,"Gender, Age, ProgVar",Accept,Accept,Accept,0.5845998971829566
Accept,-0.23080903065383757,0.4036583175067763,"Gender, Age, ProgVar",Accept,Accept,Reject,1.0499623129080047
Accept,-0.2808868152813962,0.39797725430080205,"Gender, Age, ProgVar",Accept,Accept,Accept,0.6634060648467291
Accept,-0.35838247518475597,0.2939600884505574,"Gender, Age, ProgVar",Accept,Accept,Accept,0.22926226985715017
Accept,-0.45416763897809553,0.1314231259603314,"Gender, Age, ProgVar",Accept,Accept,Accept,0.09224788135688335
Accept,-0.4070703976765031,0.3058709902456489,"Gender, Age, ProgVar",Accept,Accept,Accept,0.34373572624280574
Accept,-0.32702778655981307,0.32607151605451345,"Gender, Age, ProgVar",Accept,Accept,Accept,0.4284256150485103
Accept,-0.10303228714439797,0.531603742829488,"Gender, Age, ProgVar",Accept,Accept,Accept,0.6025917312394928
Accept,-0.4084670281342374,0.25305644635182073,"Gender, Age, ProgVar",Accept,Accept,Accept,0.41947865956518493
Accept,-0.19393824846245727,0.412376666325725,"Gender, Age, ProgVar",Accept,Accept,Accept,0.5184368129611328
Accept,-0.23223851992089306,0.48091675283405105,"Gender, Age, ProgVar",Accept,Accept,Accept,0.37079914204545694
Accept,-0.5606007286173007,0.09214147211037238,"Gender, Age, ProgVar",Accept,Accept,Accept,0.9696125036689045
Accept,-0.22802497978418335,0.3848321815194856,"Gender, Age, ProgVar",Accept,Accept,Accept,0.07156752742837617
Accept,-0.824321708833682,0.011315053078063353,"Gender, Age, ProgVar",Accept,Accept,Accept,0.8570939095855681
Accept,-0.40651006092429354,0.2783831925995077,"Gender, Age, ProgVar",Accept,Accept,Accept,0.9093374397374614
Accept,-0.40716800234131206,0.2962428820183836,"Gender, Age, ProgVar",Accept,Accept,Accept,0.7386764612122678
Accept,-0.5865786537746052,0.03101423024097877,"Gender, Age, ProgVar",Accept,Accept,Accept,0.5883266265022264
Accept,-0.31425528396742053,0.31599023519989067,"Gender, Age, ProgVar",Accept,Accept,Accept,0.4168772304572781
Accept,-0.31772556167174437,0.31115782532972847,"Gender, Age, ProgVar",Accept,Accept,Accept,0.5564423874474045
